"variable","variable_comp","t_literal","p_t_literal","correlation_literal","p_correlation_literal","t_sentimental","p_t_sentimental","correlation_sentimental","p_correlation_sentimental","t_joined","p_t_joined","correlation_joined","p_correlation_joined"
"income","spelling_errors",32.4,"****",-0.09,"ns",32.4,"****",-0.15,"**",45.84,"****",-0.12,"***"
"timeTaken","valence",38.66,"****",-0.14,"**",38.66,"****",-0.12,"*",54.7,"****",-0.12,"***"
"valence","token_length_median",-8.45,"****",-0.06,"ns",-5.59,"****",-0.15,"**",-9.8,"****",-0.11,"***"
"valence","lix",-69.8,"****",-0.07,"ns",-52.7,"****",-0.14,"**",-84.52,"****",-0.11,"***"
"arousal","age",-71,"****",-0.15,"**",-69.73,"****",-0.12,"*",-99.53,"****",-0.11,"***"
"imageability","n_tokens",-25.18,"****",-0.24,"****",-26.29,"****",-0.12,"**",-36.27,"****",-0.11,"***"
"token_length_median","valence",8.45,"****",-0.06,"ns",5.59,"****",-0.15,"**",9.8,"****",-0.11,"***"
"syllables_per_token_median","n_sentences",12.45,"****",-0.08,"ns",7.47,"****",-0.13,"**",13.87,"****",-0.11,"***"
"n_tokens","imageability",25.18,"****",-0.24,"****",26.29,"****",-0.12,"**",36.27,"****",-0.11,"***"
"proportion_unique_tokens","rix",-31.6,"****",-0.09,"ns",-26.79,"****",-0.08,"ns",-40.87,"****",-0.11,"***"
"proportion_unique_tokens","dependency_distance_mean",-33.73,"****",-0.15,"**",-29.2,"****",-0.11,"*",-43.95,"****",-0.11,"***"
"n_sentences","syllables_per_token_median",-12.45,"****",-0.08,"ns",-7.47,"****",-0.13,"**",-13.87,"****",-0.11,"***"
"lix","valence",69.8,"****",-0.07,"ns",52.7,"****",-0.14,"**",84.52,"****",-0.11,"***"
"rix","proportion_unique_tokens",31.6,"****",-0.09,"ns",26.79,"****",-0.08,"ns",40.87,"****",-0.11,"***"
"dependency_distance_mean","proportion_unique_tokens",33.73,"****",-0.15,"**",29.2,"****",-0.11,"*",43.95,"****",-0.11,"***"
"dependency_distance_std","prop_adjacent_dependency_relation_mean",-24.62,"****",-0.17,"***",-17.5,"****",-0.04,"ns",-29.5,"****",-0.11,"***"
"prop_adjacent_dependency_relation_mean","dependency_distance_std",24.62,"****",-0.17,"***",17.5,"****",-0.04,"ns",29.5,"****",-0.11,"***"
"age","arousal",71,"****",-0.15,"**",69.73,"****",-0.12,"*",99.53,"****",-0.11,"***"
"income","livingArea",32.32,"****",-0.11,"*",32.32,"****",-0.11,"*",45.74,"****",-0.11,"***"
"livingArea","income",-32.32,"****",-0.11,"*",-32.32,"****",-0.11,"*",-45.74,"****",-0.11,"***"
"token_length_median","token_length_std",31.73,"****",0.14,"**",31.89,"****",0.07,"ns",44.73,"****",0.11,"***"
"token_length_std","token_length_median",-31.73,"****",0.14,"**",-31.89,"****",0.07,"ns",-44.73,"****",0.11,"***"
"token_length_std","lix",-72.69,"****",0.1,"*",-55.55,"****",0.09,"ns",-88.54,"****",0.11,"***"
"syllables_per_token_median","prop_adjacent_dependency_relation_mean",57.45,"****",-0.07,"ns",44.32,"****",0.22,"****",70.31,"****",0.11,"***"
"syllables_per_token_std","timeTaken",-39.63,"****",0.04,"ns",-39.65,"****",0.18,"****",-56.09,"****",0.11,"***"
"lix","token_length_std",72.69,"****",0.1,"*",55.55,"****",0.09,"ns",88.54,"****",0.11,"***"
"dependency_distance_std","timeTaken",-39.85,"****",0,"ns",-39.84,"****",0.22,"****",-56.38,"****",0.11,"***"
"prop_adjacent_dependency_relation_mean","syllables_per_token_median",-57.45,"****",-0.07,"ns",-44.32,"****",0.22,"****",-70.31,"****",0.11,"***"
"timeTaken","syllables_per_token_std",39.63,"****",0.04,"ns",39.65,"****",0.18,"****",56.09,"****",0.11,"***"
"timeTaken","dependency_distance_std",39.85,"****",0,"ns",39.84,"****",0.22,"****",56.38,"****",0.11,"***"
"spelling_errors","n_tokens",-46.04,"****",0.13,"**",-43.22,"****",0.11,"*",-63.08,"****",0.12,"***"
"spelling_errors","n_unique_tokens",-48.75,"****",0.14,"**",-44.16,"****",0.11,"*",-65.55,"****",0.12,"***"
"n_tokens","spelling_errors",46.04,"****",0.13,"**",43.22,"****",0.11,"*",63.08,"****",0.12,"***"
"n_unique_tokens","spelling_errors",48.75,"****",0.14,"**",44.16,"****",0.11,"*",65.55,"****",0.12,"***"
"gunning_fog","prop_adjacent_dependency_relation_mean",60.61,"****",-0.01,"ns",48.23,"****",0.2,"****",75.76,"****",0.12,"***"
"prop_adjacent_dependency_relation_mean","gunning_fog",-60.61,"****",-0.01,"ns",-48.23,"****",0.2,"****",-75.76,"****",0.12,"***"
"syllables_per_token_mean","flesch_reading_ease",-4.73,"****",-0.99,"****",-7.37,"****",-1,"****",-8.66,"****",-0.99,"****"
"flesch_reading_ease","syllables_per_token_mean",4.73,"****",-0.99,"****",7.37,"****",-1,"****",8.66,"****",-0.99,"****"
"flesch_reading_ease","flesch_kincaid_grade",-2.84,"**",-0.97,"****",1.58,"ns",-0.98,"****",-0.6,"ns",-0.98,"****"
"flesch_kincaid_grade","flesch_reading_ease",2.84,"**",-0.97,"****",-1.58,"ns",-0.98,"****",0.6,"ns",-0.98,"****"
"token_length_mean","flesch_reading_ease",-1.8,"ns",-0.86,"****",-4.98,"****",-0.9,"****",-4.97,"****",-0.89,"****"
"flesch_reading_ease","token_length_mean",1.8,"ns",-0.86,"****",4.98,"****",-0.9,"****",4.97,"****",-0.89,"****"
"flesch_reading_ease","automated_readability_index",-3.35,"***",-0.84,"****",1.11,"ns",-0.88,"****",-1.28,"ns",-0.87,"****"
"automated_readability_index","flesch_reading_ease",3.35,"***",-0.84,"****",-1.11,"ns",-0.88,"****",1.28,"ns",-0.87,"****"
"flesch_reading_ease","coleman_liau_index",-6.41,"****",-0.83,"****",-1.29,"ns",-0.86,"****",-5.07,"****",-0.85,"****"
"coleman_liau_index","flesch_reading_ease",6.41,"****",-0.83,"****",1.29,"ns",-0.86,"****",5.07,"****",-0.85,"****"
"flesch_reading_ease","gunning_fog",-5.24,"****",-0.81,"****",-0.47,"ns",-0.84,"****",-3.7,"***",-0.83,"****"
"gunning_fog","flesch_reading_ease",5.24,"****",-0.81,"****",0.47,"ns",-0.84,"****",3.7,"***",-0.83,"****"
"syllables_per_token_median","flesch_reading_ease",-4.85,"****",-0.69,"****",-7.5,"****",-0.81,"****",-8.84,"****",-0.76,"****"
"flesch_reading_ease","syllables_per_token_median",4.85,"****",-0.69,"****",7.5,"****",-0.81,"****",8.84,"****",-0.76,"****"
"token_length_median","flesch_reading_ease",-2.14,"*",-0.68,"****",-5.26,"****",-0.78,"****",-5.4,"****",-0.74,"****"
"flesch_reading_ease","token_length_median",2.14,"*",-0.68,"****",5.26,"****",-0.78,"****",5.4,"****",-0.74,"****"
"flesch_reading_ease","lix",-26.17,"****",-0.66,"****",-16.98,"****",-0.78,"****",-29.66,"****",-0.73,"****"
"lix","flesch_reading_ease",26.17,"****",-0.66,"****",16.98,"****",-0.78,"****",29.66,"****",-0.73,"****"
"concreteness","arousal",71.26,"****",-0.42,"****",16.46,"****",-0.51,"****",44.97,"****",-0.65,"****"
"arousal","concreteness",-71.26,"****",-0.42,"****",-16.46,"****",-0.51,"****",-44.97,"****",-0.65,"****"
"arousal","imageability",-84.74,"****",-0.23,"****",-31.5,"****",-0.36,"****",-63.92,"****",-0.52,"****"
"imageability","arousal",84.74,"****",-0.23,"****",31.5,"****",-0.36,"****",63.92,"****",-0.52,"****"
"syllables_per_token_std","flesch_reading_ease",-5.4,"****",-0.57,"****",-7.94,"****",-0.45,"****",-9.53,"****",-0.5,"****"
"flesch_reading_ease","syllables_per_token_std",5.4,"****",-0.57,"****",7.94,"****",-0.45,"****",9.53,"****",-0.5,"****"
"n_tokens","proportion_unique_tokens",44.89,"****",-0.56,"****",42.48,"****",-0.37,"****",61.75,"****",-0.47,"****"
"proportion_unique_tokens","n_tokens",-44.89,"****",-0.56,"****",-42.48,"****",-0.37,"****",-61.75,"****",-0.47,"****"
"token_length_mean","n_tokens",-20.28,"****",-0.42,"****",-18.6,"****",-0.43,"****",-27.47,"****",-0.42,"****"
"token_length_mean","n_unique_tokens",-19.87,"****",-0.41,"****",-18.31,"****",-0.43,"****",-26.94,"****",-0.42,"****"
"n_tokens","token_length_mean",20.28,"****",-0.42,"****",18.6,"****",-0.43,"****",27.47,"****",-0.42,"****"
"n_unique_tokens","token_length_mean",19.87,"****",-0.41,"****",18.31,"****",-0.43,"****",26.94,"****",-0.42,"****"
"proportion_unique_tokens","n_characters",-52.61,"****",-0.49,"****",-50.35,"****",-0.31,"****",-72.63,"****",-0.42,"****"
"n_characters","proportion_unique_tokens",52.61,"****",-0.49,"****",50.35,"****",-0.31,"****",72.63,"****",-0.42,"****"
"token_length_median","n_tokens",-21.94,"****",-0.39,"****",-20.32,"****",-0.44,"****",-29.85,"****",-0.41,"****"
"token_length_std","flesch_reading_ease",-3.9,"***",-0.47,"****",-6.85,"****",-0.36,"****",-7.74,"****",-0.41,"****"
"n_tokens","token_length_median",21.94,"****",-0.39,"****",20.32,"****",-0.44,"****",29.85,"****",-0.41,"****"
"flesch_reading_ease","token_length_std",3.9,"***",-0.47,"****",6.85,"****",-0.36,"****",7.74,"****",-0.41,"****"
"token_length_median","n_unique_tokens",-21.67,"****",-0.37,"****",-20.09,"****",-0.43,"****",-29.47,"****",-0.4,"****"
"n_unique_tokens","token_length_median",21.67,"****",-0.37,"****",20.09,"****",-0.43,"****",29.47,"****",-0.4,"****"
"n_sentences","rix",-23.96,"****",-0.42,"****",-18.19,"****",-0.38,"****",-29.6,"****",-0.4,"****"
"rix","n_sentences",23.96,"****",-0.42,"****",18.19,"****",-0.38,"****",29.6,"****",-0.4,"****"
"sentence_length_median","n_sentences",35.31,"****",-0.4,"****",32.24,"****",-0.39,"****",47.65,"****",-0.39,"****"
"syllables_per_token_mean","n_tokens",-39.54,"****",-0.36,"****",-37.49,"****",-0.43,"****",-54.43,"****",-0.39,"****"
"syllables_per_token_mean","n_unique_tokens",-41.52,"****",-0.35,"****",-38.16,"****",-0.43,"****",-56.24,"****",-0.39,"****"
"n_tokens","syllables_per_token_mean",39.54,"****",-0.36,"****",37.49,"****",-0.43,"****",54.43,"****",-0.39,"****"
"n_unique_tokens","syllables_per_token_mean",41.52,"****",-0.35,"****",38.16,"****",-0.43,"****",56.24,"****",-0.39,"****"
"n_sentences","sentence_length_median",-35.31,"****",-0.4,"****",-32.24,"****",-0.39,"****",-47.65,"****",-0.39,"****"
"sentence_length_mean","n_sentences",35.8,"****",-0.38,"****",32.58,"****",-0.37,"****",48.23,"****",-0.38,"****"
"n_sentences","sentence_length_mean",-35.8,"****",-0.38,"****",-32.58,"****",-0.37,"****",-48.23,"****",-0.38,"****"
"n_sentences","dependency_distance_mean",-12.87,"****",-0.37,"****",-11.69,"****",-0.39,"****",-17.28,"****",-0.38,"****"
"dependency_distance_mean","n_sentences",12.87,"****",-0.37,"****",11.69,"****",-0.39,"****",17.28,"****",-0.38,"****"
"dependency_distance_mean","prop_adjacent_dependency_relation_mean",47.04,"****",-0.33,"****",41.56,"****",-0.4,"****",61.92,"****",-0.37,"****"
"prop_adjacent_dependency_relation_mean","dependency_distance_mean",-47.04,"****",-0.33,"****",-41.56,"****",-0.4,"****",-61.92,"****",-0.37,"****"
"income","householdSize",32.4,"****",-0.36,"****",32.4,"****",-0.36,"****",45.84,"****",-0.36,"****"
"householdSize","income",-32.4,"****",-0.36,"****",-32.4,"****",-0.36,"****",-45.84,"****",-0.36,"****"
"n_unique_tokens","proportion_unique_tokens",47.56,"****",-0.42,"****",43.42,"****",-0.28,"****",64.21,"****",-0.34,"****"
"proportion_unique_tokens","n_unique_tokens",-47.56,"****",-0.42,"****",-43.42,"****",-0.28,"****",-64.21,"****",-0.34,"****"
"syllables_per_token_median","n_tokens",-40.24,"****",-0.25,"****",-38.31,"****",-0.41,"****",-55.51,"****",-0.33,"****"
"n_tokens","syllables_per_token_median",40.24,"****",-0.25,"****",38.31,"****",-0.41,"****",55.51,"****",-0.33,"****"
"rix","prop_adjacent_dependency_relation_std",42.08,"****",-0.34,"****",38.3,"****",-0.32,"****",56.18,"****",-0.33,"****"
"prop_adjacent_dependency_relation_std","rix",-42.08,"****",-0.34,"****",-38.3,"****",-0.32,"****",-56.18,"****",-0.33,"****"
"sentence_length_mean","prop_adjacent_dependency_relation_std",43.7,"****",-0.32,"****",40.93,"****",-0.31,"****",59.68,"****",-0.32,"****"
"sentence_length_median","prop_adjacent_dependency_relation_std",43.13,"****",-0.32,"****",40.53,"****",-0.32,"****",59,"****",-0.32,"****"
"syllables_per_token_median","n_unique_tokens",-42.29,"****",-0.23,"****",-39.01,"****",-0.4,"****",-57.38,"****",-0.32,"****"
"n_unique_tokens","syllables_per_token_median",42.29,"****",-0.23,"****",39.01,"****",-0.4,"****",57.38,"****",-0.32,"****"
"prop_adjacent_dependency_relation_std","sentence_length_mean",-43.7,"****",-0.32,"****",-40.93,"****",-0.31,"****",-59.68,"****",-0.32,"****"
"prop_adjacent_dependency_relation_std","sentence_length_median",-43.13,"****",-0.32,"****",-40.53,"****",-0.32,"****",-59,"****",-0.32,"****"
"token_length_mean","sentence_length_mean",-9.34,"****",-0.31,"****",-6.58,"****",-0.33,"****",-11.23,"****",-0.31,"****"
"token_length_mean","sentence_length_median",-9.08,"****",-0.3,"****",-6.41,"****",-0.33,"****",-10.93,"****",-0.31,"****"
"token_length_median","sentence_length_mean",-11.54,"****",-0.28,"****",-8.92,"****",-0.34,"****",-14.43,"****",-0.31,"****"
"sentence_length_mean","token_length_mean",9.34,"****",-0.31,"****",6.58,"****",-0.33,"****",11.23,"****",-0.31,"****"
"sentence_length_mean","token_length_median",11.54,"****",-0.28,"****",8.92,"****",-0.34,"****",14.43,"****",-0.31,"****"
"sentence_length_median","token_length_mean",9.08,"****",-0.3,"****",6.41,"****",-0.33,"****",10.93,"****",-0.31,"****"
"dependency_distance_mean","prop_adjacent_dependency_relation_std",61.15,"****",-0.31,"****",51.95,"****",-0.33,"****",78.9,"****",-0.31,"****"
"prop_adjacent_dependency_relation_std","dependency_distance_mean",-61.15,"****",-0.31,"****",-51.95,"****",-0.33,"****",-78.9,"****",-0.31,"****"
"token_length_median","sentence_length_median",-11.27,"****",-0.28,"****",-8.74,"****",-0.33,"****",-14.12,"****",-0.3,"****"
"sentence_length_median","token_length_median",11.27,"****",-0.28,"****",8.74,"****",-0.33,"****",14.12,"****",-0.3,"****"
"rix","dependency_distance_std",40.25,"****",-0.29,"****",35.84,"****",-0.3,"****",53.21,"****",-0.3,"****"
"dependency_distance_std","rix",-40.25,"****",-0.29,"****",-35.84,"****",-0.3,"****",-53.21,"****",-0.3,"****"
"age","householdSize",67.87,"****",-0.3,"****",67.87,"****",-0.3,"****",96.04,"****",-0.3,"****"
"householdSize","age",-67.87,"****",-0.3,"****",-67.87,"****",-0.3,"****",-96.04,"****",-0.3,"****"
"sentence_length_mean","syllables_per_token_mean",32.48,"****",-0.27,"****",29.81,"****",-0.32,"****",43.93,"****",-0.28,"****"
"sentence_length_mean","proportion_unique_tokens",39,"****",-0.31,"****",36.07,"****",-0.23,"****",52.94,"****",-0.28,"****"
"sentence_length_median","syllables_per_token_mean",32.02,"****",-0.26,"****",29.48,"****",-0.31,"****",43.38,"****",-0.28,"****"
"sentence_length_median","proportion_unique_tokens",38.47,"****",-0.3,"****",35.7,"****",-0.23,"****",52.31,"****",-0.28,"****"
"syllables_per_token_mean","sentence_length_mean",-32.48,"****",-0.27,"****",-29.81,"****",-0.32,"****",-43.93,"****",-0.28,"****"
"syllables_per_token_mean","sentence_length_median",-32.02,"****",-0.26,"****",-29.48,"****",-0.31,"****",-43.38,"****",-0.28,"****"
"n_tokens","lix",-57.59,"****",-0.26,"****",-44.36,"****",-0.3,"****",-70.59,"****",-0.28,"****"
"proportion_unique_tokens","sentence_length_mean",-39,"****",-0.31,"****",-36.07,"****",-0.23,"****",-52.94,"****",-0.28,"****"
"proportion_unique_tokens","sentence_length_median",-38.47,"****",-0.3,"****",-35.7,"****",-0.23,"****",-52.31,"****",-0.28,"****"
"lix","n_tokens",57.59,"****",-0.26,"****",44.36,"****",-0.3,"****",70.59,"****",-0.28,"****"
"sentence_length_median","dependency_distance_std",42.42,"****",-0.27,"****",39.61,"****",-0.27,"****",57.86,"****",-0.27,"****"
"n_unique_tokens","lix",-59.08,"****",-0.25,"****",-44.83,"****",-0.3,"****",-71.83,"****",-0.27,"****"
"n_sentences","automated_readability_index",-54.98,"****",-0.3,"****",-42.84,"****",-0.24,"****",-68,"****",-0.27,"****"
"flesch_reading_ease","rix",3.73,"***",-0.23,"****",6.82,"****",-0.29,"****",7.6,"****",-0.27,"****"
"automated_readability_index","n_sentences",54.98,"****",-0.3,"****",42.84,"****",-0.24,"****",68,"****",-0.27,"****"
"lix","n_unique_tokens",59.08,"****",-0.25,"****",44.83,"****",-0.3,"****",71.83,"****",-0.27,"****"
"rix","flesch_reading_ease",-3.73,"***",-0.23,"****",-6.82,"****",-0.29,"****",-7.6,"****",-0.27,"****"
"dependency_distance_std","sentence_length_median",-42.42,"****",-0.27,"****",-39.61,"****",-0.27,"****",-57.86,"****",-0.27,"****"
"sentence_length_mean","dependency_distance_std",42.98,"****",-0.26,"****",40.01,"****",-0.26,"****",58.52,"****",-0.26,"****"
"sentence_length_std","rix",-27.35,"****",-0.27,"****",-21.34,"****",-0.23,"****",-34.21,"****",-0.26,"****"
"rix","sentence_length_std",27.35,"****",-0.27,"****",21.34,"****",-0.23,"****",34.21,"****",-0.26,"****"
"dependency_distance_std","sentence_length_mean",-42.98,"****",-0.26,"****",-40.01,"****",-0.26,"****",-58.52,"****",-0.26,"****"
"n_sentences","flesch_kincaid_grade",-57.56,"****",-0.24,"****",-44.41,"****",-0.25,"****",-70.75,"****",-0.25,"****"
"flesch_kincaid_grade","n_sentences",57.56,"****",-0.24,"****",44.41,"****",-0.25,"****",70.75,"****",-0.25,"****"
"dependency_distance_mean","dependency_distance_std",53.63,"****",-0.24,"****",45.6,"****",-0.26,"****",69.32,"****",-0.25,"****"
"dependency_distance_std","dependency_distance_mean",-53.63,"****",-0.24,"****",-45.6,"****",-0.26,"****",-69.32,"****",-0.25,"****"
"arousal","automated_readability_index",-48.1,"****",-0.16,"***",-35.37,"****",-0.27,"****",-57.81,"****",-0.24,"****"
"sentence_length_std","dependency_distance_mean",-18.41,"****",-0.23,"****",-16.15,"****",-0.25,"****",-24.33,"****",-0.24,"****"
"n_tokens","gunning_fog",-16.27,"****",-0.19,"****",-13.24,"****",-0.3,"****",-20.69,"****",-0.24,"****"
"n_unique_tokens","gunning_fog",-18.72,"****",-0.17,"***",-14.15,"****",-0.29,"****",-22.93,"****",-0.24,"****"
"gunning_fog","n_tokens",16.27,"****",-0.19,"****",13.24,"****",-0.3,"****",20.69,"****",-0.24,"****"
"gunning_fog","n_unique_tokens",18.72,"****",-0.17,"***",14.15,"****",-0.29,"****",22.93,"****",-0.24,"****"
"automated_readability_index","arousal",48.1,"****",-0.16,"***",35.37,"****",-0.27,"****",57.81,"****",-0.24,"****"
"dependency_distance_mean","sentence_length_std",18.41,"****",-0.23,"****",16.15,"****",-0.25,"****",24.33,"****",-0.24,"****"
"arousal","token_length_mean",-62.73,"****",-0.19,"****",-42.98,"****",-0.28,"****",-71.87,"****",-0.23,"****"
"arousal","coleman_liau_index",-56.96,"****",-0.17,"***",-42.7,"****",-0.25,"****",-69.02,"****",-0.23,"****"
"token_length_mean","arousal",62.73,"****",-0.19,"****",42.98,"****",-0.28,"****",71.87,"****",-0.23,"****"
"sentence_length_mean","syllables_per_token_median",33.33,"****",-0.18,"***",30.84,"****",-0.29,"****",45.25,"****",-0.23,"****"
"sentence_length_median","syllables_per_token_median",32.86,"****",-0.18,"***",30.51,"****",-0.28,"****",44.69,"****",-0.23,"****"
"sentence_length_std","flesch_kincaid_grade",-59.04,"****",-0.2,"****",-45.78,"****",-0.24,"****",-72.8,"****",-0.23,"****"
"sentence_length_std","automated_readability_index",-56.53,"****",-0.23,"****",-44.21,"****",-0.23,"****",-70.07,"****",-0.23,"****"
"syllables_per_token_median","sentence_length_mean",-33.33,"****",-0.18,"***",-30.84,"****",-0.29,"****",-45.25,"****",-0.23,"****"
"syllables_per_token_median","sentence_length_median",-32.86,"****",-0.18,"***",-30.51,"****",-0.28,"****",-44.69,"****",-0.23,"****"
"n_tokens","coleman_liau_index",-21.15,"****",-0.24,"****",-16.88,"****",-0.24,"****",-26.61,"****",-0.23,"****"
"n_unique_tokens","coleman_liau_index",-23.81,"****",-0.22,"****",-17.84,"****",-0.23,"****",-29.01,"****",-0.23,"****"
"n_sentences","coleman_liau_index",-62.72,"****",-0.26,"****",-48.92,"****",-0.2,"****",-77.52,"****",-0.23,"****"
"flesch_kincaid_grade","sentence_length_std",59.04,"****",-0.2,"****",45.78,"****",-0.24,"****",72.8,"****",-0.23,"****"
"automated_readability_index","sentence_length_std",56.53,"****",-0.23,"****",44.21,"****",-0.23,"****",70.07,"****",-0.23,"****"
"automated_readability_index","dependency_distance_std",60.99,"****",-0.21,"****",47.88,"****",-0.23,"****",75.68,"****",-0.23,"****"
"automated_readability_index","prop_adjacent_dependency_relation_std",61.6,"****",-0.22,"****",48.5,"****",-0.23,"****",76.54,"****",-0.23,"****"
"coleman_liau_index","arousal",56.96,"****",-0.17,"***",42.7,"****",-0.25,"****",69.02,"****",-0.23,"****"
"coleman_liau_index","n_tokens",21.15,"****",-0.24,"****",16.88,"****",-0.24,"****",26.61,"****",-0.23,"****"
"coleman_liau_index","n_unique_tokens",23.81,"****",-0.22,"****",17.84,"****",-0.23,"****",29.01,"****",-0.23,"****"
"coleman_liau_index","n_sentences",62.72,"****",-0.26,"****",48.92,"****",-0.2,"****",77.52,"****",-0.23,"****"
"dependency_distance_std","automated_readability_index",-60.99,"****",-0.21,"****",-47.88,"****",-0.23,"****",-75.68,"****",-0.23,"****"
"prop_adjacent_dependency_relation_std","automated_readability_index",-61.6,"****",-0.22,"****",-48.5,"****",-0.23,"****",-76.54,"****",-0.23,"****"
"sentence_length_std","lix",-76.44,"****",-0.24,"****",-58.03,"****",-0.21,"****",-92.82,"****",-0.22,"****"
"syllables_per_token_mean","dependency_distance_mean",2.9,"**",-0.13,"**",-0.7,"ns",-0.27,"****",1.3,"ns",-0.22,"****"
"n_tokens","flesch_kincaid_grade",-7.03,"****",-0.16,"***",-4.73,"****",-0.28,"****",-8.22,"****",-0.22,"****"
"n_tokens","automated_readability_index",-9.04,"****",-0.2,"****",-6.79,"****",-0.25,"****",-11.08,"****",-0.22,"****"
"n_unique_tokens","automated_readability_index",-11.45,"****",-0.19,"****",-7.7,"****",-0.25,"****",-13.31,"****",-0.22,"****"
"n_sentences","gunning_fog",-56.76,"****",-0.24,"****",-44.76,"****",-0.21,"****",-70.66,"****",-0.22,"****"
"n_sentences","lix",-75.64,"****",-0.25,"****",-57.41,"****",-0.2,"****",-91.83,"****",-0.22,"****"
"flesch_kincaid_grade","n_tokens",7.03,"****",-0.16,"***",4.73,"****",-0.28,"****",8.22,"****",-0.22,"****"
"flesch_kincaid_grade","dependency_distance_std",64.36,"****",-0.17,"***",50.08,"****",-0.25,"****",79.4,"****",-0.22,"****"
"gunning_fog","n_sentences",56.76,"****",-0.24,"****",44.76,"****",-0.21,"****",70.66,"****",-0.22,"****"
"automated_readability_index","n_tokens",9.04,"****",-0.2,"****",6.79,"****",-0.25,"****",11.08,"****",-0.22,"****"
"automated_readability_index","n_unique_tokens",11.45,"****",-0.19,"****",7.7,"****",-0.25,"****",13.31,"****",-0.22,"****"
"lix","sentence_length_std",76.44,"****",-0.24,"****",58.03,"****",-0.21,"****",92.82,"****",-0.22,"****"
"lix","n_sentences",75.64,"****",-0.25,"****",57.41,"****",-0.2,"****",91.83,"****",-0.22,"****"
"dependency_distance_mean","syllables_per_token_mean",-2.9,"**",-0.13,"**",0.7,"ns",-0.27,"****",-1.3,"ns",-0.22,"****"
"dependency_distance_std","flesch_kincaid_grade",-64.36,"****",-0.17,"***",-50.08,"****",-0.25,"****",-79.4,"****",-0.22,"****"
"arousal","lix",-73.18,"****",-0.16,"***",-54.89,"****",-0.2,"****",-88.33,"****",-0.21,"****"
"token_length_mean","dependency_distance_mean",73.58,"****",-0.13,"**",58.26,"****",-0.26,"****",91.75,"****",-0.21,"****"
"sentence_length_std","proportion_unique_tokens",-2.93,"**",-0.27,"****",-1.02,"ns",-0.17,"***",-2.76,"**",-0.21,"****"
"sentence_length_std","gunning_fog",-58.22,"****",-0.21,"****",-46,"****",-0.22,"****",-72.57,"****",-0.21,"****"
"n_unique_tokens","flesch_kincaid_grade",-9.48,"****",-0.15,"**",-5.66,"****",-0.27,"****",-10.5,"****",-0.21,"****"
"proportion_unique_tokens","sentence_length_std",2.93,"**",-0.27,"****",1.02,"ns",-0.17,"***",2.76,"**",-0.21,"****"
"proportion_unique_tokens","n_sentences",-15.35,"****",-0.26,"****",-16.58,"****",-0.18,"****",-22.57,"****",-0.21,"****"
"n_sentences","proportion_unique_tokens",15.35,"****",-0.26,"****",16.58,"****",-0.18,"****",22.57,"****",-0.21,"****"
"n_sentences","livingArea",-26.5,"****",-0.21,"****",-26.48,"****",-0.22,"****",-37.48,"****",-0.21,"****"
"flesch_reading_ease","age",-13.87,"****",-0.2,"****",-8.31,"****",-0.23,"****",-15.23,"****",-0.21,"****"
"flesch_kincaid_grade","n_unique_tokens",9.48,"****",-0.15,"**",5.66,"****",-0.27,"****",10.5,"****",-0.21,"****"
"gunning_fog","sentence_length_std",58.22,"****",-0.21,"****",46,"****",-0.22,"****",72.57,"****",-0.21,"****"
"lix","arousal",73.18,"****",-0.16,"***",54.89,"****",-0.2,"****",88.33,"****",-0.21,"****"
"dependency_distance_mean","token_length_mean",-73.58,"****",-0.13,"**",-58.26,"****",-0.26,"****",-91.75,"****",-0.21,"****"
"age","flesch_reading_ease",13.87,"****",-0.2,"****",8.31,"****",-0.23,"****",15.23,"****",-0.21,"****"
"livingArea","n_sentences",26.5,"****",-0.21,"****",26.48,"****",-0.22,"****",37.48,"****",-0.21,"****"
"arousal","token_length_median",-39.3,"****",-0.15,"**",-28.15,"****",-0.25,"****",-46.77,"****",-0.2,"****"
"arousal","syllables_per_token_mean",40.4,"****",-0.15,"**",53.22,"****",-0.21,"****",61.34,"****",-0.2,"****"
"arousal","flesch_kincaid_grade",-49.95,"****",-0.12,"**",-36.1,"****",-0.21,"****",-59.45,"****",-0.2,"****"
"arousal","gunning_fog",-50.92,"****",-0.13,"**",-38.47,"****",-0.22,"****",-62.05,"****",-0.2,"****"
"token_length_median","arousal",39.3,"****",-0.15,"**",28.15,"****",-0.25,"****",46.77,"****",-0.2,"****"
"token_length_median","dependency_distance_mean",50.64,"****",-0.1,"*",42.96,"****",-0.27,"****",65.76,"****",-0.2,"****"
"syllables_per_token_mean","arousal",-40.4,"****",-0.15,"**",-53.22,"****",-0.21,"****",-61.34,"****",-0.2,"****"
"syllables_per_token_median","dependency_distance_mean",-1.95,"ns",-0.08,"ns",-5.26,"****",-0.27,"****",-5.3,"****",-0.2,"****"
"flesch_kincaid_grade","arousal",49.95,"****",-0.12,"**",36.1,"****",-0.21,"****",59.45,"****",-0.2,"****"
"flesch_kincaid_grade","prop_adjacent_dependency_relation_std",65.06,"****",-0.16,"***",50.79,"****",-0.22,"****",80.38,"****",-0.2,"****"
"gunning_fog","arousal",50.92,"****",-0.13,"**",38.47,"****",-0.22,"****",62.05,"****",-0.2,"****"
"coleman_liau_index","prop_adjacent_dependency_relation_std",68.22,"****",-0.19,"****",53.61,"****",-0.2,"****",84.6,"****",-0.2,"****"
